   1   4/12/81  6  0  66
   2  11/12/81  6  1  70
   3   3/22/82  6  0  69
   5  11/11/82  6  0  68
   6   4/04/83  6  0  67
   7   6/18/83  6  0  72
   8   8/30/83  6  0  73
   9  11/28/83  6  0  70
 41-B  2/03/84  6  1  57
 41-C  4/06/84  6  1  63
 41-D  8/30/84  6  1  70
 41-G 10/05/84  6  0  78
 51-A 11/08/84  6  0  67
 51-C  1/24/85  6  3  53
 51-D  4/12/85  6  0  67
 51-B  4/29/85  6  0  75
 51-G  6/17/85  6  0  70
 51-F  7/29/85  6  0  81
 51-I  8/27/85  6  0  76
 51-J 10/03/85  6  0  79
 61-A 10/30/85  6  2  75
 61-B 11/26/85  6  0  76
 61-C  1/12/86  6  1  58
 61-I  1/28/86  6  NA 31
